Team,Score,Overs,RR,Inns,Opposition,Ground,Match Date
United,238/3,20,11.9,1,v Qalandars,Karachi,9-Mar-19
Zalmi,214/5,20,10.7,1,v United,Karachi,15-Mar-19
Qalandars,209/5,20,10.45,1,v Gladiators,Lahore,3-Mar-20
Qalandars,204/4,20,10.2,2,v Sultans,Sharjah,22-Feb-19
Gladiators,203/8,20,10.15,2,v Qalandars,Dubai (DSC),16-Feb-16
Zalmi,203/7,20,10.15,1,v Kings,Karachi,11-Mar-19
Gladiators,202/5,18.5,10.72,2,v Qalandars,Sharjah,18-Feb-17
Qalandars,201/2,20,10.05,1,v Gladiators,Dubai (DSC),16-Feb-16
Kings,201/4,20,10.05,1,v Zalmi,Karachi,21-Feb-20
Qalandars,200/3,20,10,1,v Gladiators,Sharjah,18-Feb-17
Gladiators,200/7,20,10,1,v Zalmi,Sharjah,28-Feb-17
Sultans,200/6,20,10,1,v Qalandars,Sharjah,22-Feb-19
Zalmi,199/9,20,9.95,2,v Gladiators,Sharjah,28-Feb-17
Sultans,199/5,20,9.95,1,v Gladiators,Multan,29-Feb-20
United,198/3,20,9.9,1,v Qalandars,Lahore,4-Mar-20
United,195/5,20,9.75,1,v Zalmi,Rawalpindi,7-Mar-20
Qalandars,194/3,20,9.7,1,v Gladiators,Dubai (DSC),8-Feb-16
Qalandars,191/1,18.5,10.14,2,v Sultans,Lahore,15-Mar-20
Zalmi,191/7,20,9.55,2,v Kings,Karachi,21-Feb-20
Qalandars,190/2,19.1,9.91,2,v Kings,Lahore,8-Mar-20
Gladiators,190/5,19.4,9.66,2,v United,Rawalpindi,27-Feb-20
Zalmi,190/9,20,9.5,1,v United,Dubai (DSC),9-Feb-17
Kings,190/5,20,9.5,1,v Gladiators,Karachi,10-Mar-19
Qalandars,189/5,19.5,9.52,2,v Zalmi,Lahore,10-Mar-20
